20060617,TUSCHY,4478,144,130,4978,5,6,763,374,363,1160,19,23,125,179,175,295,9,11,0,0,0,0,0,0
20060618,Gatzen/Dahl,4182,99,83,4682,1,1,1114,403,382,1512,6,6,114,151,146,257,8,9,0,0,0,0,0,0
20060619,VAN DER VELDE,4391,72,47,4864,1,1,809,460,423,1256,14,18,144,187,184,324,7,11,0,0,0,0,0,0
20060620,VAN DER VELDE,3935,71,61,4408,1,1,831,203,179,1033,1,1,607,333,311,930,10,10,71,12,8,82,1,1
20060621,Gatzen/Groenemeijer,3746,34,26,4182,1,1,1637,222,201,1857,2,2,126,219,215,329,16,20,14,65,65,68,11,12
20060622,Gatzen,4458,83,69,4932,0,0,862,275,241,1149,0,0,209,176,171,380,5,7,0,0,0,0,0,0
20060623,TUSCHY,3489,36,29,3916,0,0,1694,386,370,2091,1,1,248,210,203,458,0,0,0,0,0,0,0,0
20060624,Groenemeijer,4093,134,116,4616,0,0,1296,404,390,1714,0,0,38,98,95,135,1,1,0,0,0,0,0,0
20060625,Groenemeijer,4118,79,55,4338,2,3,1166,421,403,1835,12,13,111,124,119,225,10,12,7,37,37,39,5,5
20060626,dahl,3583,45,42,3854,0,0,1743,408,383,2328,0,0,107,177,172,270,14,17,0,0,0,0,0,0
20060627,VAN DER VELDE,4577,58,51,5038,0,0,487,59,56,546,0,0,349,472,463,802,19,30,16,45,45,53,8,9
20060628,Groenemeijer,4280,122,116,4763,1,1,796,306,299,1142,1,1,217,202,197,413,6,9,69,71,68,138,2,3
20060629,Gatzen,4762,148,141,5282,0,0,600,269,253,897,3,3,79,152,147,217,14,22,20,33,30,51,2,2
20060630,TUSCHY,4898,50,37,5271,0,0,711,199,188,985,5,5,62,71,68,132,1,1,10,62,60,72,0,0
20060701,dahl,5069,192,165,5664,0,0,424,159,143,583,0,0,134,85,82,219,0,0,0,0,0,0,0,0
20060702,dahl,3739,39,31,4181,0,0,1716,408,390,2123,1,1,89,72,71,161,0,0,0,0,0,0,0,0
20060703,Groenemeijer,3291,64,50,3732,0,0,2050,542,494,2614,4,4,89,27,23,116,0,0,0,0,0,0,0,0
20060704,VAN DER VELDE,4570,124,114,5094,3,3,722,253,236,973,2,2,154,205,201,357,2,2,2,33,33,30,5,6
20060705,Gatzen,4509,164,146,5024,2,2,736,249,233,1033,2,2,136,269,261,393,12,16,0,0,0,0,0,0
20060706,Gatzen,4431,240,205,5071,3,3,882,382,371,1257,7,7,24,104,102,128,0,0,0,0,0,0,0,0
20060707,TUSCHY,3694,148,133,4027,0,0,1576,385,371,2172,7,7,87,173,165,258,2,2,0,0,0,0,0,0
20060708,dahl,2835,115,100,2955,0,0,2249,524,486,3160,11,11,213,127,124,340,0,0,0,0,0,0,0,0
20060709,TUSCHY,3379,61,48,3439,1,1,1721,674,620,2789,3,3,209,19,18,234,0,0,0,0,0,0,0,0
20060710,Groenemeijer,3728,80,69,3950,4,4,1250,392,377,1880,1,1,280,198,193,492,4,5,32,103,101,132,3,4
20060711,VAN DER VELDE,3969,245,223,4315,4,4,1317,344,321,1886,2,2,126,62,58,257,2,2,0,0,0,0,0,0
20060712,Gatzen,4081,227,205,4709,2,2,1009,530,517,1531,8,8,180,36,34,216,0,0,0,0,0,0,0,0
20060713,gatzen,3664,41,37,4010,0,0,1536,779,749,2408,5,5,36,7,6,43,0,0,0,0,0,0,0,0
20060714,TUSCHY,2807,19,13,3013,1,1,2030,577,547,2820,2,2,481,149,146,626,4,4,0,0,0,0,0,0
20060715,TUSCHY,4091,16,13,4239,2,2,1427,529,504,2224,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20060717,Groenemeijer,5213,173,138,5579,1,1,481,196,179,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060718,VAN DER VELDE,4641,163,139,4806,0,0,782,234,203,1141,0,0,78,133,132,383,0,0,32,0,0,136,0,0
20060719,Gatzen,4771,107,76,5171,1,1,727,365,318,1197,4,5,67,26,21,93,0,0,0,0,0,0,0,0
20060720,dahl,4480,108,77,4991,0,0,1053,177,160,1227,3,4,152,93,83,239,6,7,0,0,0,0,0,0
20060721,TUSCHY,3205,72,70,3571,5,6,2151,447,431,2690,12,12,126,62,62,188,0,0,0,0,0,0,0,0
20060722,dahl,3603,30,23,4036,0,0,1829,516,498,2323,22,25,37,48,48,84,1,1,0,0,0,0,0,0
20060723,dahl,3789,22,12,4213,1,1,1695,500,446,2189,6,6,55,2,2,57,0,0,0,0,0,0,0,0
20060724,Groenemeijer,4059,163,138,4505,2,2,1358,483,451,1957,2,2,0,0,0,0,0,0,0,0,0,0,0,0
20060725,VAN DER VELDE,4208,143,115,4715,3,4,1221,491,455,1740,8,8,0,0,0,0,0,0,0,0,0,0,0,0
20060726,Groenemeijer,3618,64,58,3989,0,0,1515,417,400,2020,8,10,219,230,222,448,1,1,0,0,0,0,0,0
20060727,Gatzen,3849,110,101,4359,2,2,1140,299,282,1432,8,9,301,364,353,648,17,20,0,0,0,0,0,0
20060728,TUSCHY,3376,66,59,3844,1,2,1666,226,201,1887,5,9,400,329,312,724,5,7,0,0,0,0,0,0
20060729,dahl,4151,35,22,4589,0,0,1162,430,404,1587,5,7,167,118,113,284,1,1,0,0,0,0,0,0
20060730,Groenemeijer,3199,67,55,3669,0,0,2050,542,470,2592,0,0,138,67,61,203,2,2,0,0,0,0,0,0
20060731,dahl,3480,38,31,3921,0,0,1921,582,507,2498,5,5,7,35,35,42,0,0,0,0,0,0,0,0
20060801,VAN DER VELDE,4186,135,113,4724,0,0,1118,421,380,1535,4,4,78,125,118,203,0,0,0,0,0,0,0,0
20060802,Gatzen,4284,207,182,4894,0,0,943,488,450,1422,9,9,82,59,57,140,1,1,0,0,0,0,0,0
20060803,dahl,3948,62,57,4413,0,0,1296,260,244,1547,9,10,202,295,287,493,4,4,0,0,0,0,0,0
20060804,Gatzen,3946,87,77,4302,2,2,1357,325,313,1806,8,10,134,214,212,346,2,2,0,0,0,0,0,0
20060805,dahl,3814,6,3,4137,1,1,1447,348,314,1878,2,3,210,238,233,437,11,13,0,0,0,0,0,0
20060806,dahl,4429,19,11,4848,0,0,969,326,311,1294,4,5,125,195,180,310,10,12,0,0,0,0,0,0
20060807,TUSCHY,3508,60,52,3960,1,1,1886,458,412,2345,9,11,93,58,52,151,0,0,0,0,0,0,0,0
20060808,TUSCHY,3451,23,22,3877,0,0,1832,431,425,2261,2,2,230,96,92,313,13,17,0,0,0,0,0,0
20060810,Gatzen,4408,232,184,4975,1,1,875,192,164,1132,2,2,233,123,102,356,0,0,0,0,0,0,0,0
20060811,Gatzen,4413,66,54,4874,8,8,1252,132,112,1363,21,30,195,5,2,200,0,0,0,0,0,0,0,0
20060812,TUSCHY,3519,47,34,3968,1,1,1851,478,437,2319,10,11,53,115,107,167,1,1,0,0,0,0,0,0
20060813,dahl,3946,69,57,4382,0,0,1319,256,242,1594,17,19,186,211,204,396,1,3,38,38,38,76,0,0
20060814,VAN DER VELDE,4246,211,186,4858,2,2,1078,281,261,1357,2,2,89,158,148,244,3,3,0,0,0,0,0,0
20060815,VAN DER VELDE,4019,96,96,4462,1,1,1001,391,391,1418,2,2,262,165,165,443,3,3,27,102,102,132,5,5
20060816,Gatzen,3127,48,35,3431,0,0,1924,531,465,2553,15,24,305,128,113,466,1,1,0,0,0,0,0,0
20060817,gatzen,2690,135,126,3020,1,1,2235,399,352,2839,2,3,333,186,179,517,2,2,34,51,51,84,1,1
20060818,TUSCHY,2500,12,11,2733,0,0,2512,571,531,3264,1,1,295,173,160,464,4,6,0,0,0,0,0,0
20060819,dahl,3489,57,40,3566,0,0,1493,460,420,2334,2,3,366,198,188,561,3,3,0,0,0,0,0,0
20060820,dahl,3621,35,32,3947,0,0,1410,548,528,2059,11,13,242,207,204,445,4,6,0,0,0,0,0,0
20060821,TUSCHY,2357,40,32,2794,1,1,2551,526,475,3078,4,4,295,194,182,487,2,2,26,74,71,100,0,0
20060822,VAN DER VELDE,4261,85,74,4749,0,0,1163,409,373,1568,4,5,68,45,41,113,0,0,3,29,28,32,0,0
20060823,gatzen,3650,273,243,4304,0,0,1651,255,231,1908,7,7,195,39,33,247,0,0,0,0,0,0,0,0
20060824,Gatzen,4392,307,249,5102,0,0,890,157,148,1046,1,1,123,194,187,317,0,0,0,0,0,0,0,0
20060825,TUSCHY,2258,51,37,2568,0,0,3106,520,455,3769,1,1,81,47,44,126,2,2,0,0,0,0,0,0
20060826,dahl,2611,64,50,2895,0,0,2612,569,535,3356,8,9,109,98,92,207,0,0,0,0,0,0,0,0
20060827,Groenemeijer,2548,74,74,2911,0,0,2632,746,720,3479,13,13,53,10,10,63,0,0,0,0,0,0,0,0
20060828,dahl,3353,62,58,3720,0,0,1880,550,525,2519,9,13,94,124,123,216,2,2,0,0,0,0,0,0
20060829,VAN DER VELDE,2670,45,34,2782,2,2,2149,419,359,2877,5,5,479,213,169,712,0,0,30,58,49,87,1,1
