Year,Ocean,Land
201407,0.68,0.73
201408,0.74,0.95
201409,0.75,0.89
201410,0.7,1.01
201411,0.65,0.8
201412,0.63,1.39
201501,0.61,1.38
201502,0.59,1.69
201503,0.63,1.64
201504,0.66,1.09
201505,0.72,1.23
201506,0.75,1.25
201507,0.75,0.97
201508,0.8,1.11
201509,0.84,1.18
201510,0.87,1.34
201511,0.85,1.28
201512,0.84,1.88
201601,0.86,1.6
201602,0.81,2.31
201603,0.82,2.38
201604,0.79,1.89
201605,0.77,1.21
201606,0.78,1.25
201607,0.79,1.1
201608,0.77,1.27
201609,0.75,1.24
201610,0.72,0.78
201611,0.66,1.03
201612,0.63,1.28
201701,0.67,1.58
201702,0.69,1.75
201703,0.72,1.88
201704,0.72,1.36
201705,0.7,1.14
201706,0.67,1.1
201707,0.71,1.17
201708,0.69,1.16
201709,0.64,1.14
201710,0.65,0.97
201711,0.64,1.1
201712,0.56,1.5
201801,0.56,1.12
201802,0.54,1.1
201803,0.61,1.51
201804,0.65,1.29
201805,0.66,1.17
201806,0.61,1.06
201807,0.64,1.09
201808,0.69,0.93
201809,0.7,0.96
201810,0.74,1.22
201811,0.73,0.81
201812,0.74,1.13
201901,0.65,1.49
201902,0.7,1.04
